JAMES	M	M	3.318	4,840,833	1
JOHN	M	3.271	4,772,262	2
ROBERT	M	3.143	4,585,515	3
MICHAEL	M	2.629	3,835,609	4
WILLIAM	M	2.451	3,575,914	5
DAVID	M	2.363	3,447,525	6
RICHARD	M	1.703	2,484,611	7
CHARLES	M	1.523	2,221,998	8
JOSEPH	M	1.404	2,048,382	9
THOMAS	M	1.38	2,013,366	10
CHRISTOPHER	M	1.035	1,510,025	11
DANIEL	M	0.974	1,421,028	12
PAUL	M	0.948	1,383,095	13
MARK	M	0.938	1,368,506	14
DONALD	M	0.931	1,358,293	15
GEORGE	M	0.927	1,352,457	16
KENNETH	M	0.826	1,205,102	17
STEVEN	M	0.78	1,137,990	18
EDWARD	M	0.779	1,136,531	19
BRIAN	M	0.736	1,073,795	20
RONALD	M	0.725	1,057,747	21
ANTHONY	M	0.721	1,051,911	22
KEVIN	M	0.671	978,963	23
JASON	M	0.66	962,914	24
MATTHEW	M	0.657	958,538	25
GARY	M	0.65	948,325	26
TIMOTHY	M	0.64	933,735	27
JOSE	M	0.613	894,343	28
LARRY	M	0.598	872,459	29
JEFFREY	M	0.591	862,246	30
FRANK	M	0.581	847,656	31
SCOTT	M	0.546	796,593	32
ERIC	M	0.544	793,675	33
STEPHEN	M	0.54	787,839	34
ANDREW	M	0.537	783,462	35
RAYMOND	M	0.488	711,973	36
GREGORY	M	0.441	643,402	37
JOSHUA	M	0.435	634,648	38
JERRY	M	0.432	630,271	39
DENNIS	M	0.415	605,469	40
WALTER	M	0.399	582,126	41
PATRICK	M	0.389	567,536	42
PETER	M	0.381	555,864	43
HAROLD	M	0.371	541,275	44
DOUGLAS	M	0.367	535,439	45
HENRY	M	0.365	532,521	46
CARL	M	0.346	504,801	47
ARTHUR	M	0.335	488,752	48
RYAN	M	0.328	478,539	49
ROGER	M	0.322	469,786	50
JOE	M	0.321	468,327	51
JUAN	M	0.316	461,032	52
JACK	M	0.315	459,573	53
ALBERT	M	0.314	458,114	54
